atom,type,x,y,z
H214,H,0.044217,0.501155,0.906891
H215,H,0.087708,0.516423,0.948801
H216,H,0.098618,0.582291,0.980284
C319,C,0.095366,0.607904,0.985913
C320,C,0.116189,0.628061,0.978591
C321,C,0.138655,0.648161,0.969054
H217,H,0.157416,0.664937,0.965892
H218,H,0.234982,0.633690,0.958261
C322,C,0.218881,0.623601,0.974953
H219,H,0.290733,0.759264,0.950215
C323,C,0.346636,0.901333,1.000020
C324,C,0.313777,0.799041,0.991546
C325,C,0.315404,0.751617,0.953821
C326,C,0.332522,0.773546,0.975787
H220,H,0.322188,0.721116,0.910256
C327,C,0.333544,0.735019,0.930237
H221,H,0.384445,0.717175,0.911863
C328,C,0.369104,0.732025,0.930268
C329,C,0.369186,0.770695,0.976511
C330,C,0.385022,0.743589,0.959554
C331,C,0.166231,0.991401,0.958692
C332,C,0.419888,0.734895,0.964672
H222,H,0.431927,0.712189,0.955975
C333,C,0.436239,0.758144,0.985155
H223,H,0.457359,0.750267,0.995338
C334,C,0.466226,0.871898,0.985292
C335,C,0.170389,0.984000,0.993016
C336,C,0.035990,0.948084,0.952274
O3,O,0.041122,0.963380,0.920666
C337,C,0.030986,0.935841,0.980715
C338,C,0.385831,0.792684,0.998662
C339,C,0.175054,0.931654,0.942516
H224,H,0.053804,0.951269,0.903459
C340,C,0.168879,0.973953,0.899952
H225,H,0.177030,0.957603,0.882571
H226,H,0.175158,0.911762,0.925903
C341,C,0.170466,0.966193,0.934297
H227,H,0.186772,0.899698,0.983372
C342,C,0.179694,0.924559,0.974543
C343,C,0.329605,0.876916,0.939575
C344,C,0.312782,0.891166,0.993707
H228,H,0.301061,0.875862,0.895415
H229,H,0.277511,0.870171,0.960546
C345,C,0.301847,0.877236,0.964460
C346,C,0.362950,0.869132,0.949726
C347,C,0.448531,0.857937,0.956690
H230,H,0.401798,0.878752,0.873520
C348,C,0.352350,0.877129,0.881205
C349,C,0.385384,0.874699,0.891763
C350,C,0.369473,0.881757,0.981917
C351,C,0.417701,0.872920,0.953978
H231,H,0.460082,0.839919,0.942852
C352,C,0.391631,0.870764,0.929613
C353,C,0.400859,0.883950,0.985009
H232,H,0.491924,0.867577,0.987682
C354,C,0.324550,0.875025,0.904608
C355,C,0.201300,0.612969,0.992651
H233,H,0.029958,0.908054,0.983390
H234,H,0.489523,0.770613,0.865195
H235,H,0.288698,0.802799,0.984385
H236,H,0.072534,0.616046,0.998815
H237,H,0.564315,0.168195,0.064735
C356,C,0.563770,0.178648,0.116852
C357,C,0.562805,0.174442,0.090298
H238,H,0.628914,0.440685,0.007585
H239,H,0.874382,0.369612,0.124910
C358,C,0.731672,0.127140,0.020119
C359,C,0.748736,0.156452,0.009094
H240,H,0.699584,0.098338,0.053156
C360,C,0.715126,0.111246,0.035634
H241,H,0.582676,0.300736,0.026059
C361,C,0.592034,0.301406,0.049855
H242,H,0.573450,0.293315,0.067996
C362,C,0.847656,0.370157,0.122390
H243,H,0.794979,0.316773,0.056746
H244,H,0.754449,0.334939,0.019436
H245,H,0.844178,0.330009,0.089541
H246,H,0.857916,0.226438,0.113409
C363,C,0.865834,0.247517,0.103990
C364,C,0.876991,0.269513,0.091929
H247,H,0.888754,0.288292,0.079541
H248,H,0.669419,0.332110,0.078401
C365,C,0.619995,0.313592,0.056324
C366,C,0.647623,0.325454,0.065867
C367,C,0.715054,0.445610,0.060462
C368,C,0.719153,0.395354,0.023908
C369,C,0.784203,0.433752,0.143750
C370,C,0.831607,0.348158,0.101374
H249,H,0.685896,0.434985,0.018598
C371,C,0.752454,0.394571,0.079914
C372,C,0.705766,0.425033,0.032586
H250,H,0.707696,0.382897,-0.000066
C373,C,0.735762,0.423637,0.076057
H251,H,0.714875,0.471257,0.058857
C374,C,0.784442,0.387115,0.098259
C375,C,0.784007,0.340404,0.059443
C376,C,0.743800,0.382700,0.046402
C377,C,0.798326,0.405793,0.126538
C378,C,0.760497,0.350746,0.039623
C379,C,0.799924,0.359831,0.085690
H252,H,0.678797,0.134141,0.263912
C380,C,0.671656,0.160685,0.258358
C381,C,0.842101,0.007465,0.255711
C382,C,0.841951,0.034196,0.256798
H253,H,0.835294,0.057692,0.254234
C383,C,0.846332,0.137871,0.278198
H254,H,0.853702,0.113807,0.272766
H255,H,0.639696,0.174101,0.202489
C384,C,0.561820,0.264008,0.242472
C385,C,0.618537,0.246697,0.228496
C386,C,0.654213,0.193042,0.211784
C387,C,0.646695,0.230517,0.211552
C388,C,0.660365,0.285768,0.224294
C389,C,0.605546,0.307655,0.238841
C390,C,0.626381,0.280787,0.233692
H256,H,0.556459,0.312172,0.257166
C391,C,0.573467,0.297547,0.246366
C392,C,0.582312,0.240438,0.231622
H257,H,0.568449,0.219811,0.224486
H258,H,0.534338,0.259215,0.247313
H259,H,0.697732,0.172438,0.190712
C393,C,0.664299,0.188613,0.251493
H260,H,0.669077,0.211011,0.266659
C394,C,0.672041,0.316140,0.221280
C395,C,0.671803,0.256904,0.211751
C396,C,0.689834,0.194489,0.196485
C397,C,0.705885,0.254151,0.206792
C398,C,0.703471,0.315803,0.208227
C399,C,0.711648,0.220604,0.197178
H261,H,0.709944,0.341813,0.200622
C400,C,0.720275,0.286216,0.204079
H262,H,0.737417,0.215050,0.191666
H263,H,0.744237,0.289798,0.192274
H264,H,0.928685,0.181650,0.212240
H265,H,0.970917,0.248967,0.218818
C401,C,0.958732,0.226379,0.216913
C402,C,0.943195,0.204408,0.214526
C403,C,0.653768,0.347589,0.231508
C404,C,0.624638,0.342566,0.242344
H266,H,0.610490,0.362596,0.249729
H267,H,0.664528,0.370822,0.230598
H268,H,0.836022,0.441714,0.209906
H269,H,0.781110,0.472057,0.184809
C405,C,0.840282,0.408764,0.170155
C406,C,0.823255,0.435592,0.187616
C407,C,0.794798,0.450809,0.174442
H270,H,0.756066,0.498298,0.272960
H271,H,0.862715,0.401815,0.179380
H272,H,0.563811,0.182511,0.138185
C408,C,0.826116,0.390152,0.142951
C409,C,0.519226,0.042393,0.362515
H273,H,0.552304,0.054010,0.403436
C410,C,0.535924,0.047942,0.382626
C411,C,0.876018,0.344226,0.370204
C412,C,0.859257,0.407732,0.388896
C413,C,0.838708,0.162382,0.284690
H274,H,0.982334,0.101821,0.312775
C414,C,0.962452,0.081127,0.387161
C415,C,0.987892,0.100134,0.336917
C416,C,0.993524,0.068356,0.395898
C417,C,0.960321,0.095536,0.354344
H275,H,0.935560,0.100162,0.345565
H276,H,0.944133,0.080540,0.404622
H277,H,0.831044,0.185815,0.291553
H278,H,0.730518,0.252410,0.338603
H279,H,0.753614,0.200450,0.355803
C418,C,0.757343,0.249777,0.339885
C419,C,0.770149,0.220896,0.353995
C420,C,0.782551,0.274371,0.329255
C421,C,0.805932,0.219801,0.361792
C422,C,0.818392,0.273511,0.339865
C423,C,0.835267,0.303810,0.345887
C424,C,0.771200,0.308557,0.319259
H280,H,0.745977,0.308907,0.313752
C425,C,0.786691,0.339019,0.321008
C426,C,0.859359,0.374352,0.363786
H281,H,0.810481,0.200063,0.376469
C427,C,0.828342,0.247391,0.363326
C428,C,0.860081,0.250564,0.380768
C429,C,0.865929,0.309976,0.362309
H282,H,0.870671,0.230423,0.391671
C430,C,0.878490,0.278894,0.377876
H283,H,0.901144,0.277948,0.388152
C431,C,0.961273,0.226007,0.362537
C432,C,0.942985,0.220574,0.334740
C433,C,0.919358,0.222255,0.312380
H284,H,0.905959,0.214576,0.291768
C434,C,0.974872,0.231868,0.391197
C435,C,0.817547,0.336559,0.339383
C436,C,0.830051,0.368065,0.346648
H285,H,0.774445,0.361519,0.313833
H286,H,0.815517,0.388698,0.339917
C437,C,0.881685,0.401756,0.408806
H287,H,0.894922,0.346135,0.387676
H288,H,0.841179,0.430100,0.389266
H289,H,0.961587,0.238903,0.412118
H290,H,0.720384,0.007281,0.403290
H291,H,0.548676,0.145683,0.443499
C438,C,0.538969,0.163231,0.459203
H292,H,0.778642,0.066796,0.489965
C439,C,0.725773,0.003749,0.487065
C440,C,0.987933,0.055730,0.430845
C441,C,0.748960,0.024209,0.480503
C442,C,0.771942,0.046786,0.474957
H293,H,0.788721,0.042085,0.455751
O4,O,0.908244,0.391370,0.432231
H294,H,0.961497,0.055203,0.438853
H295,H,0.609787,0.389499,0.478703
H296,H,0.900693,0.375662,0.447994
C443,C,0.528814,0.180395,0.478082
C444,C,0.614250,0.178618,0.555512
H297,H,0.607338,0.166630,0.533806
C445,C,0.615975,0.214357,0.549973
H298,H,0.589147,0.276673,0.505861
C446,C,0.594853,0.230314,0.527718
C447,C,0.626919,0.277698,0.548241
C448,C,0.603703,0.264321,0.523846
H299,H,0.578933,0.219549,0.516262
C449,C,0.632039,0.312388,0.554081
C450,C,0.515654,0.207289,0.499909
C451,C,0.928582,0.254289,0.547133
H300,H,0.914170,0.247943,0.526293
C452,C,0.943187,0.261660,0.568695
H301,H,0.632311,0.329272,0.534888
H302,H,0.541355,0.425862,0.495067
C453,C,0.564862,0.415301,0.491742
C454,C,0.588157,0.402543,0.486177
C455,C,0.509122,0.229878,0.510206
H303,H,0.505708,0.452457,0.529091
H304,H,0.763243,0.116499,0.559982
H305,H,0.668401,0.480817,0.543995
C456,C,0.777500,0.135888,0.570344
C457,C,0.685870,0.482609,0.565951
H306,H,0.613372,0.380646,0.572759
H307,H,0.607730,0.149677,0.652261
H308,H,0.558613,0.057060,0.686923
C458,C,0.559496,0.029472,0.690154
H309,H,0.615598,0.137893,0.587199
C459,C,0.563339,0.003097,0.693570
C460,C,0.617370,0.161809,0.583817
C461,C,0.701341,0.005404,0.671394
C462,C,0.691995,0.031521,0.655374
C463,C,0.686100,0.056874,0.635212
C464,C,0.680739,0.083254,0.619591
H310,H,0.675281,0.107542,0.610115
H311,H,0.694134,0.208233,0.630368
H312,H,0.503465,0.459133,0.705098
H313,H,0.544369,0.207735,0.692875
C465,C,0.874997,0.095760,0.613974
C466,C,0.899496,0.089160,0.622941
H314,H,0.856813,0.105332,0.601454
C467,C,0.936130,0.085264,0.635923
C468,C,0.959103,0.070663,0.640353
H315,H,0.981628,0.059507,0.645943
C469,C,0.614365,0.173861,0.646371
H316,H,0.613025,0.194954,0.695508
C470,C,0.619706,0.183814,0.613716
C471,C,0.615900,0.199463,0.669596
C472,C,0.633419,0.215711,0.608843
C473,C,0.616195,0.233222,0.659996
H317,H,0.606098,0.250573,0.675499
C474,C,0.640764,0.322177,0.586376
C475,C,0.634341,0.242743,0.631773
C476,C,0.635068,0.262684,0.578938
H318,H,0.644162,0.313109,0.640888
C477,C,0.635852,0.273653,0.611082
C478,C,0.640706,0.305814,0.617598
H319,H,0.659739,0.259578,0.684925
H320,H,0.627262,0.337779,0.713103
C479,C,0.634668,0.230078,0.576059
H321,H,0.719136,0.490950,0.606175
H322,H,0.732512,0.205133,0.698295
C480,C,0.721342,0.202843,0.674577
C481,C,0.705848,0.207007,0.652857
C482,C,0.795064,0.153943,0.579411
C483,C,0.817730,0.180556,0.594803
H323,H,0.849819,0.215180,0.615328
C484,C,0.835711,0.198705,0.604442
H324,H,0.956645,0.268754,0.590092
H325,H,0.849195,0.320088,0.666662
C485,C,0.861308,0.317103,0.689960
C486,C,0.701908,0.484445,0.587560
C487,C,0.671499,0.265656,0.706417
C488,C,0.616727,0.403546,0.582614
C489,C,0.541240,0.494171,0.667586
H326,H,0.558224,0.478527,0.679055
C490,C,0.614926,0.425752,0.597823
C491,C,0.511269,0.483360,0.652091
H327,H,0.649949,0.348688,0.588834
H328,H,0.545012,0.424696,0.669588
C492,C,0.569293,0.381802,0.685869
H329,H,0.581671,0.386626,0.662960
C493,C,0.615110,0.459779,0.614722
C494,C,0.543238,0.405821,0.687032
C495,C,0.611754,0.485200,0.624080
H330,H,0.503719,0.458397,0.653131
O5,O,0.554820,0.230186,0.699976
C496,C,0.518472,0.409316,0.712441
C497,C,0.574722,0.356681,0.712109
H331,H,0.556035,0.012654,0.808264
H332,H,0.529436,0.242923,0.782396
C498,C,0.537290,0.163463,0.771362
C499,C,0.538989,0.137264,0.778460
H333,H,0.538732,0.112255,0.781330
C500,C,0.502879,0.440026,0.721381
H334,H,0.530582,0.185661,0.763521
H335,H,0.504017,0.363270,0.834424
C501,C,0.570336,0.315077,0.811234
H336,H,0.969195,0.027245,0.805572
C502,C,0.972468,0.001987,0.802476
C503,C,0.543259,0.243873,0.730830
C504,C,0.532886,0.256662,0.760269
C505,C,0.603992,0.339580,0.725637
C506,C,0.577083,0.329757,0.780855
C507,C,0.605022,0.325182,0.758180
H337,H,0.627698,0.313708,0.765469
C508,C,0.524002,0.362150,0.788331
C509,C,0.544110,0.325893,0.832274
H338,H,0.583625,0.296282,0.817892
C510,C,0.523406,0.352302,0.820978
H339,H,0.543603,0.312803,0.856031
C511,C,0.509577,0.387595,0.767478
H340,H,0.717498,0.308046,0.802684
C512,C,0.701394,0.279880,0.760575
C513,C,0.686903,0.267622,0.729420
C514,C,0.708851,0.294107,0.783279
C515,C,0.550441,0.362418,0.736300
C516,C,0.549989,0.349707,0.768238
C517,C,0.524800,0.385016,0.735461
H341,H,0.870362,0.307058,0.739453
C518,C,0.507872,0.283193,0.750517
C519,C,0.866884,0.312951,0.715605
C520,C,0.515601,0.070375,0.975054
C521,C,0.532517,0.021707,0.949771
C522,C,0.551337,0.015610,0.983111
C523,C,0.520095,0.052836,0.944028
H342,H,0.623789,0.168597,0.977957
H343,H,0.551186,0.100024,1.004330
H344,H,0.524366,0.007559,0.901295
C524,C,0.547969,0.077785,0.991606
H345,H,0.511847,0.058929,0.921163
C525,C,0.565909,0.045607,0.996418
H346,H,0.809913,0.021476,0.955932
H347,H,0.839427,0.093007,0.958025
C526,C,0.821227,0.044230,0.956043
C527,C,0.831448,0.068963,0.956353
C528,C,0.643642,0.185902,0.977249
C529,C,0.608307,0.448914,0.999657
C530,C,0.602125,0.263252,0.913791
C531,C,0.613605,0.270454,0.890012
H348,H,0.589086,0.256400,0.936593
H349,H,0.626042,0.277345,0.868168
C532,C,0.648009,0.201215,0.949351
C533,C,0.654248,0.217666,0.924261
H350,H,0.660365,0.229433,0.903238
H351,H,0.779720,0.193588,0.981668
H352,H,0.641510,0.388333,0.902405
C534,C,0.584178,0.466114,0.986501
C535,C,0.563143,0.488476,0.975697
H353,H,0.539631,0.484251,0.967888
C536,C,0.665009,0.346015,0.881691
C537,C,0.651412,0.368819,0.888964
H354,H,0.677454,0.325482,0.873798
C538,C,0.765322,0.176288,0.997557
H355,H,0.659916,0.188866,0.998139
H356,H,0.685434,0.616756,0.031805
C539,C,0.866686,0.754904,0.000614
C540,C,0.848272,0.737154,0.009335
H357,H,0.829773,0.721902,0.018220
H358,H,0.987094,0.852463,0.062421
H359,H,0.560460,0.885193,0.007721
H360,H,0.607663,0.887141,0.036929
C541,C,0.629995,0.928194,0.060605
C542,C,0.627047,0.965792,0.060159
C543,C,0.610502,0.913778,0.037401
H361,H,0.643015,0.914862,0.078502
C544,C,0.605380,0.974904,0.037546
C545,C,0.587523,0.932081,0.016702
C546,C,0.585096,0.969919,0.013128
H362,H,0.641559,0.983671,0.076667
C547,C,0.933837,0.906915,0.015839
C548,C,0.971148,0.868968,0.051045
C549,C,0.744771,0.901960,0.124226
C550,C,0.766404,0.905358,0.140227
H363,H,0.725671,0.897368,0.107577
C551,C,0.954410,0.887110,0.039625
C552,C,0.690347,0.613579,0.005168
C553,C,0.561992,0.911305,0.003694
C554,C,0.525893,0.589922,0.204841
C555,C,0.505303,0.604167,0.192559
H364,H,0.540435,0.571484,0.216896
H365,H,0.901430,0.908050,0.244548
C556,C,0.916468,0.907921,0.267344
C557,C,0.735469,0.510613,0.279591
H366,H,0.790863,0.901933,0.147015
H367,H,0.840866,0.982610,0.253890
H368,H,0.632890,0.561043,0.302732
C558,C,0.656872,0.552677,0.300890
C559,C,0.681253,0.543142,0.297144
C560,C,0.972298,0.588074,0.314355
C561,C,0.945612,0.587055,0.320746
H369,H,0.919925,0.587289,0.328391
C562,C,0.847047,0.733607,0.387219
C563,C,0.821475,0.734036,0.395689
C564,C,0.785450,0.722142,0.400832
C565,C,0.759305,0.714762,0.399781
H370,H,0.733374,0.710717,0.398518
H371,H,0.872095,0.734444,0.379943
H372,H,0.901232,0.782087,0.407318
C566,C,0.708328,0.989372,0.420085
C567,C,0.879480,0.773297,0.418266
C568,C,0.713367,0.524125,0.287256
H373,H,0.933215,0.911326,0.315812
C569,C,0.924254,0.909239,0.293234
H374,H,0.996862,0.592459,0.311838
H375,H,0.586029,0.664566,0.488250
C570,C,0.589350,0.667260,0.511717
C571,C,0.618617,0.656102,0.527720
H376,H,0.636088,0.641652,0.516527
H377,H,0.650816,0.611069,0.543812
C572,C,0.621045,0.661755,0.563710
C573,C,0.659531,0.618353,0.566051
C574,C,0.509334,0.698948,0.567718
C575,C,0.562737,0.680549,0.531598
H378,H,0.535980,0.706575,0.490347
C576,C,0.972496,0.897791,0.556229
C577,C,0.509649,0.706669,0.533440
C578,C,0.566061,0.683040,0.568373
C579,C,0.539417,0.701213,0.515335
H379,H,0.596945,0.729520,0.546064
C580,C,0.580159,0.747188,0.539167
C581,C,0.559756,0.766061,0.525382
C582,C,0.535629,0.782966,0.510645
H380,H,0.541667,0.797409,0.489191
H381,H,0.511248,0.785973,0.520295
C583,C,0.742691,0.812223,0.472076
C584,C,0.721217,0.787865,0.468532
H382,H,0.700743,0.790442,0.453293
H383,H,0.726236,0.763600,0.475862
C585,C,0.998781,0.978556,0.518046
C586,C,0.857415,0.766300,0.431617
H384,H,0.839210,0.765330,0.447632
H385,H,0.672918,0.939209,0.474925
C587,C,0.690770,0.937466,0.455999
H386,H,0.773869,0.855764,0.477265
C588,C,0.760053,0.835413,0.474196
C589,C,0.702185,0.962675,0.436742
H387,H,0.707270,0.917710,0.456947
H388,H,0.698774,0.581752,0.561917
H389,H,0.953788,0.883620,0.551012
C590,C,0.993289,0.913977,0.562372
H390,H,0.981472,0.974963,0.536563
H391,H,0.712377,0.985788,0.496937
C591,C,0.551798,0.528753,0.666041
H392,H,0.586082,0.518653,0.705270
C592,C,0.576317,0.537497,0.690622
C593,C,0.588930,0.569589,0.690661
C594,C,0.530022,0.553423,0.648708
C595,C,0.546426,0.580819,0.662883
C596,C,0.566579,0.598664,0.683148
H393,H,0.610441,0.573494,0.703757
C597,C,0.652358,0.648351,0.617734
H394,H,0.612342,0.510076,0.632032
C598,C,0.648643,0.646813,0.582658
H395,H,0.566282,0.625004,0.687027
C599,C,0.672768,0.623849,0.631688
H396,H,0.677277,0.624252,0.657632
C600,C,0.661466,0.724328,0.704579
C601,C,0.692473,0.599781,0.614016
C602,C,0.684236,0.596230,0.580227
H397,H,0.713728,0.588351,0.628634
C603,C,0.538930,0.693090,0.587481
C604,C,0.538302,0.691627,0.622617
C605,C,0.595455,0.670902,0.583980
C606,C,0.625579,0.665849,0.635940
C607,C,0.565508,0.681749,0.634854
H398,H,0.629224,0.678850,0.657977
C608,C,0.595817,0.670305,0.618854
H399,H,0.562011,0.682373,0.661267
H400,H,0.518230,0.702389,0.634767
C609,C,0.865456,0.934594,0.692757
H401,H,0.724014,0.735618,0.654689
H402,H,0.740322,0.730285,0.694453
C610,C,0.720840,0.732820,0.679712
C611,C,0.692618,0.729097,0.692551
H403,H,0.632503,0.968011,0.678259
C612,C,0.646214,0.949595,0.687036
H404,H,0.673354,0.906773,0.702570
C613,C,0.660093,0.927045,0.694651
H405,H,0.702807,0.988056,0.686453
H406,H,0.569377,0.977401,0.697080
H407,H,0.843813,0.927918,0.678132
C614,C,0.885895,0.940900,0.709100
C615,C,0.570272,0.733638,0.765137
C616,C,0.557711,0.763157,0.764922
H408,H,0.553098,0.788479,0.765566
C617,C,0.586606,0.706847,0.768087
H409,H,0.574163,0.681855,0.758472
H410,H,0.613665,0.705258,0.773599
H411,H,0.645876,0.706477,0.714603
C618,C,0.503757,0.933632,0.806955
C619,C,0.556777,0.965142,0.824051
C620,C,0.529573,0.880372,0.839285
C621,C,0.535566,0.935666,0.824378
H412,H,0.580622,0.964383,0.834553
H413,H,0.572948,0.904944,0.848688
C622,C,0.551766,0.906299,0.834727
C623,C,0.510277,0.991324,0.791520
H414,H,0.976829,0.949823,0.792969
C624,C,0.543387,0.990605,0.805583
C625,C,0.974572,0.975165,0.797404
H415,H,0.904457,0.947969,0.725774
H416,H,0.574127,0.511555,0.971401
H417,H,0.701123,0.606150,0.954940
C626,C,0.697349,0.608611,0.979597
C627,C,0.543045,0.853537,0.859074
H418,H,0.539186,0.804985,0.878056
C628,C,0.528397,0.824467,0.863697
C629,C,0.540389,0.966849,0.932747
C630,C,0.531473,0.998850,0.924638
H419,H,0.538094,0.948566,0.915308
H420,H,0.563564,0.859230,0.869691
C631,C,0.561977,0.983159,0.987389
H421,H,0.522205,0.909080,0.975520
C632,C,0.540472,0.925369,0.982228
C633,C,0.548435,0.957572,0.965874
C634,C,0.918953,0.916126,0.994310
H422,H,0.905441,0.924906,0.974409
H423,H,0.882992,0.772027,0.992219
